FAST School of Computing TIME TABLE Spring 2022 <V2.6>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color Codes,,,,,BDS-2021,,, BDS-2020,,,BSE-2021,,,BSE-2020,,,BCS-2021,,,BCS-2020,,,BCS-2019,,,BCS-2018 ,,, BCS-2017,,,MDS-2021 ,,, MDS-2020,,,MSP-2021 ,,,MSP-2020 ,,,MCS-2021 ,,,MCS-2020 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periods,,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,30,No. of Sessions
Days,Room,8:00 a.m.,,,,,,9:00 a.m.,,,,,,10:00 a.m.,,,,,,11:00 a.m.,,,,,,12:00 noon,,,,,,1:00 p.m.,,,,,,2:00 p.m.,,,,,,3:00 p.m.,,,,,,4:00 p.m.,,,,,,5:00 p.m.,,,,,,6:00 p.m.,,,,,,7:00 p.m.,,,,,,8:00 p.m.,,,,,,9:00 p.m.,Room Wise
 Monday                 Monday        ,Seminar Hall,,,,,,,,,,,,,Software Engineering (BCS-6A),,,,,,,,,Database Systems (BCS-6A),,,,,,,,,Natural Language Processing (BCS-8A),,,,,,,,,,,,,,,,,,,,,,,,,,,Funda. of Software Eng (BDS-4A),,,,,,,,,,,,,,,,,,,,,,
,CS-2,,,,Digital Image Processing (BCS-6A),,,,,,,,,Parallel & Dist Computing (BCS-6F),,,,,,,,,Digital Image Processing (BCS-6B),,,,,,,,,Object Oriented Programming (BCS-2L),,,,,,,,, Object Oriented Programming (BDS-2A),,,,,,,,,Software Testing (BCS-8B),,,,,,,,,Software Quality Assurance & Management (MSP-2A),,,,,,,,,,,,,,,,,,,,,,
,CS-3,,,,Digital Logic Design (BCS-2C),,,,,,,,,Database Systems (BCS-4A),,,,,,,,,Database Systems (BCS-4B),,,,,,,,,Database Systems (BDS-4A),,,,,,,,,Database Systems (BCS-4C),,,,,,,,,International Relations (BCS-8A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,,,,Design & Analysis of Algo (BCS-4D),,,,,,,,,Database Systems (BCS-4D),,,,,,,,,Design & Analysis of Algo (BCS-4C),,,,,,,,, Object Oriented Programming (BDS-2C),,,,,,,,,Sociology (BCS-6A),,,,,,,,,Professional Practices in IT (BCS-8A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,,,,,,,,,,,,,Object Oriented Programming (BCS-2J),,,,,,,,,Database Systems (BSE-4A),,,,,,,,,Theory of Automata (BCS-6C),,,,,,,,,Theory of Automata (BCS-6D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,,,,Discrete Structures (BSE-4A),,,,,,,,,Digital Logic Design (BCS-2A),,,,,,,,,Digital Logic Design (BCS-2K),,,,,,,,,Parallel & Dist Computing (BCS-6D),,,,,,,,,,,,,,,,,,Software Design & Analysis (BCS-6B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,,,,Parallel & Dist Computing (BCS-6C),,,,,,,,,Blockchain and Cryptocurrency (BCS-8A),,,,,,,,,Differential Equations (BDS-2D),,,,,,,,,Parallel & Dist Computing (BCS-8A),,,,,,,,,,,,,,,,,,Linear Algebra (BCS-4E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,,,,Islamic Studies/Ethics (BCS-2L),,,,,,,,,Digital Logic Design (BCS-2E),,,,,,,,,Digital Logic Design (BCS-2G),,,,,,,,,Digital Logic Design (BCS-2B),,,,,,,,,Probability & Statistics (BSE-4B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,,,,Object Oriented Analysis & Design (BCS-8A),,,,,,,,,Machine Learning for Data Science (MDS-2A),,,,,,,,,,,,,,,,,,Object Oriented Programming (BCS-2M),,,,,,,,,Digital Logic Design (BCS-2N),,,,,,,,,Principles of Leadership (BCS-4A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,,,,Digital Logic Design (BCS-2J),,,,,,,,,Applied Physics (BCS-2P),,,,,,,,,Object Oriented Programming (BCS-2D),,,,,,,,,Object Oriented Programming (BCS-2C),,,,,,,,,Digital Logic Design (BCS-2L),,,,,,,,,Islamic Studies/Ethics (BDS-2B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,,,,,,,,,,,,,Differential Equations (BCS-2L),,,,,,,,,,,,,,,,,,,,,,,,,,,Object Oriented Programming (BSE-2B),,,,,,,,,Organizational Behaviour (BCS-6A),,,,,,,,,Programming Fundamentals (BSE-2D),,,,,,,,,,,,,,,,,,,,,,
,CS-16,,,,Intro to Cloud Computing (BCS-8A),,,,,,,,,Data Structures (BCS-4F),,,,,,,,,Marketing Management (BCS-4A),,,,,,,,,Business Process Engineering (BSE-4B),,,,,,,,,Business Process Engineering (BSE-4A),,,,,,,,,Pakistan Sudies (BSE-2B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
